nivel_geo,abrangencia,cod_ibge_7_pop,cod_mun_pop,municipio_sinesp,nome_municipio_pop,ano,ano_mes,formulario_clean,evento_clean,agente,num_total,num_fem,num_masc,pop_total,pop_fem,pop_masc
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-08,Formulário 2,Suicídio de Agente do Estado,Polícia Civil,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-08,Formulário 2,Suicídio de Agente do Estado,Polícia Federal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-08,Formulário 2,Suicídio de Agente do Estado,Polícia Militar,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-08,Formulário 2,Suicídio de Agente do Estado,Polícia Penal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-08,Formulário 2,Suicídio de Agente do Estado,Polícia Rodoviária Federal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-08,Formulário 2,Suicídio de Agente do Estado,Profissionais de Perícia,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 2,Morte de Agente do Estado,Agente de Trânsito,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 2,Morte de Agente do Estado,Bombeiro Militar,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 2,Morte de Agente do Estado,Guarda Municipal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 2,Morte de Agente do Estado,Polícia Civil,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 2,Morte de Agente do Estado,Polícia Federal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 2,Morte de Agente do Estado,Polícia Militar,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 2,Morte de Agente do Estado,Polícia Penal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 2,Morte de Agente do Estado,Polícia Rodoviária Federal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 2,Morte de Agente do Estado,Profissionais de Perícia,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 2,Suicídio de Agente do Estado,Agente de Trânsito,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 2,Suicídio de Agente do Estado,Bombeiro Militar,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 2,Suicídio de Agente do Estado,Guarda Municipal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 2,Suicídio de Agente do Estado,Polícia Civil,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 2,Suicídio de Agente do Estado,Polícia Federal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 2,Suicídio de Agente do Estado,Polícia Militar,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 2,Suicídio de Agente do Estado,Polícia Penal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 2,Suicídio de Agente do Estado,Polícia Rodoviária Federal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-09,Formulário 2,Suicídio de Agente do Estado,Profissionais de Perícia,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-10,Formulário 2,Morte de Agente do Estado,Agente de Trânsito,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-10,Formulário 2,Morte de Agente do Estado,Bombeiro Militar,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-10,Formulário 2,Morte de Agente do Estado,Guarda Municipal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-10,Formulário 2,Morte de Agente do Estado,Polícia Civil,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-10,Formulário 2,Morte de Agente do Estado,Polícia Federal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-10,Formulário 2,Morte de Agente do Estado,Polícia Militar,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-10,Formulário 2,Morte de Agente do Estado,Polícia Penal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-10,Formulário 2,Morte de Agente do Estado,Polícia Rodoviária Federal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-10,Formulário 2,Morte de Agente do Estado,Profissionais de Perícia,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-10,Formulário 2,Suicídio de Agente do Estado,Agente de Trânsito,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-10,Formulário 2,Suicídio de Agente do Estado,Bombeiro Militar,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-10,Formulário 2,Suicídio de Agente do Estado,Guarda Municipal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-10,Formulário 2,Suicídio de Agente do Estado,Polícia Civil,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-10,Formulário 2,Suicídio de Agente do Estado,Polícia Federal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-10,Formulário 2,Suicídio de Agente do Estado,Polícia Militar,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-10,Formulário 2,Suicídio de Agente do Estado,Polícia Penal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-10,Formulário 2,Suicídio de Agente do Estado,Polícia Rodoviária Federal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-10,Formulário 2,Suicídio de Agente do Estado,Profissionais de Perícia,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-11,Formulário 2,Morte de Agente do Estado,Agente de Trânsito,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-11,Formulário 2,Morte de Agente do Estado,Bombeiro Militar,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-11,Formulário 2,Morte de Agente do Estado,Guarda Municipal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-11,Formulário 2,Morte de Agente do Estado,Polícia Civil,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-11,Formulário 2,Morte de Agente do Estado,Polícia Federal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-11,Formulário 2,Morte de Agente do Estado,Polícia Militar,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-11,Formulário 2,Morte de Agente do Estado,Polícia Penal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-11,Formulário 2,Morte de Agente do Estado,Polícia Rodoviária Federal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-11,Formulário 2,Morte de Agente do Estado,Profissionais de Perícia,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-11,Formulário 2,Suicídio de Agente do Estado,Agente de Trânsito,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-11,Formulário 2,Suicídio de Agente do Estado,Bombeiro Militar,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-11,Formulário 2,Suicídio de Agente do Estado,Guarda Municipal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-11,Formulário 2,Suicídio de Agente do Estado,Polícia Civil,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-11,Formulário 2,Suicídio de Agente do Estado,Polícia Federal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-11,Formulário 2,Suicídio de Agente do Estado,Polícia Militar,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-11,Formulário 2,Suicídio de Agente do Estado,Polícia Penal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-11,Formulário 2,Suicídio de Agente do Estado,Polícia Rodoviária Federal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-11,Formulário 2,Suicídio de Agente do Estado,Profissionais de Perícia,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-12,Formulário 2,Morte de Agente do Estado,Agente de Trânsito,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-12,Formulário 2,Morte de Agente do Estado,Bombeiro Militar,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-12,Formulário 2,Morte de Agente do Estado,Guarda Municipal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-12,Formulário 2,Morte de Agente do Estado,Polícia Civil,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-12,Formulário 2,Morte de Agente do Estado,Polícia Federal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-12,Formulário 2,Morte de Agente do Estado,Polícia Militar,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-12,Formulário 2,Morte de Agente do Estado,Polícia Penal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-12,Formulário 2,Morte de Agente do Estado,Polícia Rodoviária Federal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-12,Formulário 2,Morte de Agente do Estado,Profissionais de Perícia,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-12,Formulário 2,Suicídio de Agente do Estado,Agente de Trânsito,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-12,Formulário 2,Suicídio de Agente do Estado,Bombeiro Militar,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-12,Formulário 2,Suicídio de Agente do Estado,Guarda Municipal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-12,Formulário 2,Suicídio de Agente do Estado,Polícia Civil,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-12,Formulário 2,Suicídio de Agente do Estado,Polícia Federal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-12,Formulário 2,Suicídio de Agente do Estado,Polícia Militar,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-12,Formulário 2,Suicídio de Agente do Estado,Polícia Penal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-12,Formulário 2,Suicídio de Agente do Estado,Polícia Rodoviária Federal,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-12,Formulário 2,Suicídio de Agente do Estado,Profissionais de Perícia,0,0,0,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 2,Morte de Agente do Estado,Agente de Trânsito,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 2,Morte de Agente do Estado,Bombeiro Militar,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 2,Morte de Agente do Estado,Guarda Municipal,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 2,Morte de Agente do Estado,Polícia Civil,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 2,Morte de Agente do Estado,Polícia Federal,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 2,Morte de Agente do Estado,Polícia Militar,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 2,Morte de Agente do Estado,Polícia Penal,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 2,Morte de Agente do Estado,Polícia Rodoviária Federal,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 2,Morte de Agente do Estado,Profissionais de Perícia,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 2,Suicídio de Agente do Estado,Agente de Trânsito,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 2,Suicídio de Agente do Estado,Bombeiro Militar,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 2,Suicídio de Agente do Estado,Guarda Municipal,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 2,Suicídio de Agente do Estado,Polícia Civil,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 2,Suicídio de Agente do Estado,Polícia Federal,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 2,Suicídio de Agente do Estado,Polícia Militar,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 2,Suicídio de Agente do Estado,Polícia Penal,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 2,Suicídio de Agente do Estado,Polícia Rodoviária Federal,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 2,Suicídio de Agente do Estado,Profissionais de Perícia,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 2,Morte de Agente do Estado,Agente de Trânsito,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 2,Morte de Agente do Estado,Bombeiro Militar,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 2,Morte de Agente do Estado,Guarda Municipal,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 2,Morte de Agente do Estado,Polícia Civil,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 2,Morte de Agente do Estado,Polícia Federal,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 2,Morte de Agente do Estado,Polícia Militar,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 2,Morte de Agente do Estado,Polícia Penal,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 2,Morte de Agente do Estado,Polícia Rodoviária Federal,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 2,Morte de Agente do Estado,Profissionais de Perícia,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 2,Suicídio de Agente do Estado,Agente de Trânsito,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 2,Suicídio de Agente do Estado,Bombeiro Militar,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 2,Suicídio de Agente do Estado,Guarda Municipal,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 2,Suicídio de Agente do Estado,Polícia Civil,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 2,Suicídio de Agente do Estado,Polícia Federal,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 2,Suicídio de Agente do Estado,Polícia Militar,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 2,Suicídio de Agente do Estado,Polícia Penal,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 2,Suicídio de Agente do Estado,Polícia Rodoviária Federal,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 2,Suicídio de Agente do Estado,Profissionais de Perícia,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 2,Morte de Agente do Estado,Agente de Trânsito,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 2,Morte de Agente do Estado,Bombeiro Militar,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 2,Morte de Agente do Estado,Guarda Municipal,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 2,Morte de Agente do Estado,Polícia Civil,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 2,Morte de Agente do Estado,Polícia Federal,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 2,Morte de Agente do Estado,Polícia Militar,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 2,Morte de Agente do Estado,Polícia Penal,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 2,Morte de Agente do Estado,Polícia Rodoviária Federal,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 2,Morte de Agente do Estado,Profissionais de Perícia,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 2,Suicídio de Agente do Estado,Agente de Trânsito,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 2,Suicídio de Agente do Estado,Bombeiro Militar,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 2,Suicídio de Agente do Estado,Guarda Municipal,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 2,Suicídio de Agente do Estado,Polícia Civil,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 2,Suicídio de Agente do Estado,Polícia Federal,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 2,Suicídio de Agente do Estado,Polícia Militar,0,0,0,11109776,5709062,5400714
